id,title,year,venue,overall,tags,authors,pdf
2024-Cao-AFrameworkForPrivacy,A Framework for Privacy-Preserving Efficient Collaborative Learning,2024,"2024 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing \& Communications (GreenCom) and IEEE Cyber, Physical \& Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics",4.00,Federated Learning(FL);EPPCL(Efficient Privacy-Preserving Collaborative Learning);CP-ABE(Ciphertext-Policy Attribute-Based Encryption);지식 증류(global→local);데이터 권한 부여/암·복호화;Non-IID 데이터;IoT;중앙 서버 집계.,"Cao, Jianxiang;Song, Xing;Shang, Wenqian",raw_pdf/2024_Jianxian_FrameworkPrivacy-Preserving.pdf
2025-Plale-VectorEmbeddingOfMulti,Vector embedding of multi-modal texts: a tool for discovery?,2025,arXiv preprint arXiv:2509.08216,3.00,Vector embedding;multi-modal document retreival;digital libraries;ColPali model,"Plale, Beth;Jyesta, Sai Navya;Withana, Sachith",raw_pdf/2025_Beth_VectoEmbedding.pdf
